essay_id,full_text,score
69a1180,"The world is growing and growing as we know it. We are making more cars that could act as phones. But now, someone was actullay brave enough to come up witht he idea of driverless cars. I think the driverles cars are a great idea, more effiecent, and more reliable. Let me explain some of the reasons why.

The reason I think it is a very good idea is because the model would be more safer than the average car today. Today's cars you have to worry about gas, and if you don't have one of those fancy cars you won't know where to go. Unless you have really good phone serve. If we went with the driverless cars it would be more effiecent.

The reason I say that the driverless cars would be more effiecent is because the rate of cars crashes would go down at least 25 percent. You gotta think about it. If the car is already to go all you have to do is tell the car where you want to go and wah-lah, your good to go. If we were to make them the proper way, we wouldn't ven have to worry about drinking and driving or texting and driving. The rate of accidents like those would go down at least 25 percent if not 15 percent. That's when the reliable part comes in.

The reason why I say that the driverless car would be more reliable is because of drunk drivers and careless texters. This way we wouldn't have to worry about them. I mean it's still bad to drink and drive or text and drive but, still it'll keep them off the streets unless the car requires you to drive by hand then we really have a problem

In conclusion, If we make these cars the world would be a better place. We wouldn't have to worry about polution and stuff like that because the car wouldn't have to rely on gas. Also, it would keep the text and drunk drivers off the streets.",3
07f8601,"The Face on Mars was not created by aliens it was a natural land form. There a many reasons that make it seem like the land form could have been made by aliens, but on the other hand there was no signs of any living thing that could have done this. there are many thing with this object that could lead you to beliveing either it was made by aliens.

In 1976 the Vikking took the picture that was bellived to look like a face. In 1998 the Mars Global Surveyor flew over mars snapping pictuers that were ten times sharper than the first picture of then the first picture taken. By increaseing the sharpness of the picture it showed that it was a land form. The time of year that the first picture was taken it was a cloudy over the Red Planet. This could have made shadow that made the form look like it had eyes and nosie.

The last time the picture was taken (2001) the picture was taken in maximum resolution. This maximum photo if taken of earth you could see the pirimds in Egypt. So if there was anything weird the picture would have shown it.

In conclusion the picture taken in 2001 '' actually shows is the Martin eqivalent of a butte or mesa----landforms common around the American West.''(paragraph 12). All signs are now pointing to the fact that it was a natural landform. In the end NASA found out what it really was and that alines making this figure was false.",3
c68b908,"My fellow people and adventurers, this expierence is a once in a lifetime chance! It is extremely fun, and you get to meet so many new people! You can see sights you have never seen before! You travel the world, not only helping others, but going on a journey you will never forget! I honestly think you will enjoy it! The feeling of hepling people and exploring the world all together is a dazzling expierence! Cultures of all kinds will be introduced to you, some of the seven wonders of the world you will get to see! The feeling of the waves beneath you, as you sail the seven seas! Join me, and all your fellow friends, family, and adventerers, on a once in a lifetime expierence for yourself! Trust me it is fun!

As you sail aboard a ship, the creatures of the sea will swim by, and they almost seem to greet you! Sure, the horses need to be taken care of, but you grow a bond to loving them, and all the animals! It is a bit of a messy job, but it is worth it! I know, maybe some of you are worried about the possible dangers, but I assure you, there are none! All of us on board are here to help! There is nothing to fear!

So come along! We are waiting for you down at the docks! Join us, it is a great expierence! We're always open to have new crewmates to lend a helping hand! I am sure that you will enjoy your trip!",2
bd60d89,"The Electoral College is unfair, outdated, and irration. Under the electoral college system, voters vote not for the president, but for a slate of electors, who in turn elect the president. The electoral college is unfair to voters, because of the winner-take-all system in each state. Candidates don't spend time in states they know they have no chance of winning, focusing only on the tight races in the ""swing"" states. Over 60 percent of voters would prefer a direct election to the kind we have now. And yet, the electoral college still has its defenders.

The electoral college also has some good reasons to keep our despised method of choosing the president. In the 2012's election, obama received 61.7 percent of the electoral vote compared to only 51.3 percent of the popular votes. Obama won cause of the electoral college. Because almost all states award electoral votes on a winner-take-all basis, even a very slight plurality in a state creates a lanslide electoral-vote victory in that state. So one good reason is the certainty of outcome.

Also another awesome reason is that the electoral college requires a presidental candidate to have transregional appel. No regions has enogh electoral votes to elect a president, so the south cant elect a president that will do something in favor with the south only. The electoral college avoids the problem of elections in which no candidate receives a majority of the votes cast. it avoids run-off elections.

My final answer is that i argue in favor of the electoral college. It would be hard to let every single citizem chose, because some people dont think about others and what it is good for all, people only think about themselfs and what it is good for themself. Plus the even thogh the president will win no matter if he/she won the popular vote. The electoral votes think for the state and what is good for the people.                    ",2
395a189,"I think Facial Action cording system should not be able to identify human emotions. As in pargraph 1 it says, ""She's 83 percent happy, 9 percent disgusted,6 percent,and 2 percent angry"". What if those percentages are wrong. Those percentages could not be real just by looking at the image she could of been happy. Those emotions are just identified by a computer, not all technology could be right. The computers/technology just identify but could be wrong by looking at the face of the image/picture they have used to dectect the emotion.

As in pargraph 3 it says, ""The process begins when the computer constucts a 3-D computer model of the face"". Ther computer cops the face of the image and copys and make it 3-D. The expression is compared against a neutral face. The motion that is shown is showing no emotion at all which. The computer that they use shows wether the face is happy or sad.

The computers use calculation to show wether the face of the image is happy or sad. There is certain muscles in every face that make the bonestructor make it what you look like. There are six emotions that are used every day sad,mad,happy,scared,disgust,and susprised. I think computers/technology should not be able to dectect the emotion just by what the picture/image looks like. There muscles that move in your body every day that is called an ""Action unit"" as it says in pargraph 3.      ",2
10fda69,"In the article "" Making Mona Lisa Smile,"" D'Alto describes a new technology called the Facial Action Coding System enables computers to identify human emotions. One of the creator of this software Dr. Huang said his new computer software stores similar anatomical information as electronic code ( paragraph 5). Going on, it knows your feelings by the zygomatic major (muscles that begin at your cheek bone) that lifts the corners of your mouth. The use of this technology to read the emotional expressions of students in a classroom is valuable because this new modern software can tell you how your peers are feeling.

Furthermore, imagine being able to detect exactly how your friends are feeling even when they are trying to hide their emotion. Pretty awesome! For example, "" They even indicate the difference between a geniune smile and a forced one"" (paragraph 7). This shows that the software can even tell the difference between a fake and a real one. So, that means if your friends are feeling down you can just notice by trying that new software. Another example, ""Using video imagery, the new emotion-recognition software tracks these facial movements-in a real face or in a painted face.""( paragraph 4). This example shows that a software can identify mixed emotions. Also, we humans perform this same calculation everyday, but in a different way. Thus, faces don't lie: those mucles ( zygomatic major and risorius) clues are sometimes used to stop when a smile is fake or real. Therefore, this software can help you know what your peers are feeling and each facial traits that conveys happy.

Going on, this software is very modern. For example, ""All 44 major muscles in the model must move like human muscles"" ( paragraph 3). This shows that the creators are trying to make the software scan a person's facial as close as possible. Another example, "" happiness, suprise, anger, disgust, fear, and sadness""( paragraph 3). This shows that the software can alnost detect every feelings. Which is a great news. Thus, if you tighten your lips it shows anger and that's how the computer knows your angry. Pretty smart!

In conclusion, using this technology to read the emtional expreessions of students in a classroom is valuable. It can perform precisely specific emotions of your peers by simply scanning their faces. Thus, mention in paragraph 6, it can also pick what ads or video games to show by judging your face to make sure you are happy. Going on, the computer understands all this from your facial muscle movements. Therefore, the new software is a valuable thing to use on students to

express their feelings.",3
f31bae5,"Lesser the car, the better the world will become. Life goes on without cars, Fellows citizens the advantages of limiting car usage is you are reducing pollution in the air.

Fellows citizen the advantages of limiting car usage is you're reducing pollution in the air. experts say that ""a huge impediment to current efforts to drastically reduce greenhouse gas emissions from tailpipes. that explains that there's effort that people are reducing the greenhouse gas emissions from tailpipes.""After days near-record pollution, Paris enforced a partial driving ban to clear the air of the global city."" that's showing there was alot of pollution in the air, so paris had to enforced partial driving ban so that they can clear out the city.""congestion was down 60 percent in the capital of france, after five-days of intensifying smog."" that's showing car traffiic was reduce after a big smog in the air pollution.

On car-free day people don't get in their car and drive to work, instead they ride a bike or take a bus to work leaving the streets from having a traffic jam.""Bogota, Colombia in a program that's set to spread to other countries, millions of colombians hiked, biked, skated or took buses to work during a car free day leaving the streets of this capital city eerily devoid of traffic jams.""Days without cars goal is to promote alternative transportation and reduce smog. That's showing the day with cars is increase alternative transprotation and decrease air pollution.""it's a good opportunity to take away stress and lower air pollution."" That's expains it's a good idea for not driving on the road, So that you can take away stress and lower air pollution. The day without cars is part of an improvement campaign."" It's saying that the day without cars is helping the campaign.

In conclusion, Life goes on without car, Citizrns helping the world to reduce air pollution in the air by having a day called ""A day without cars"". By people taking buses, riding their bikes or walking on the side walks will benifit the world.                                                            ",3
774fac3,"I perosnally don't think it's a good idea,because most people don't really pay attention to the road if someone,and or,something else is driving for them.Driveless cars are pointless if it's not fully automatic,why is it called ""driveless"" when you still have to pay attentoin and drive at certain points in time ?

With the driveless car there could be less accidents,because of the sensors and flashing lights in the car,but overall the driveless car still isn't a good idea because there will have to be some sort of binary code on the road for the car to read,with that it would be way to expensive to pratically work .

In conclusion the driveless cars' wouldn't be a good idea,because people wouldn't really drive anymore,they're just partially driving and that wouldn't be fair to anyone who loves driving, if in the future they made every car ""driveless"".

In the future,how would having driveless cars' help our economy out ? How do they plan on saving fuel?What if the car just shuts down,who fault would it be? Those are the things that i want to know.Say the car is driving by it's self and it crashes into something who would really be blamed,i think it should be the car manufacturer , because if it isn't the persons' turn to drive,why should they be the reason that the crash happened ?   ",2
7913c3a,"My position on driverless cars is very nutral. Like the passage stated there are a lot pros and cons when it comes to this topic, such as numerous types of road blocks like accidents and construction. When it comes to the diverless car getting to an accident people are confused on who it should be to blame the manufacturer, or the passenger. I personaly believe the passenger should be to blame, it doesn't matter how advanced the technology is something is bound to go wrong so you should always be on alert.

When it comes to some of the pros there are some strong ones. Driving will be a lot safer once a majority of people own a self driving car. There will be almost no accidents do to texting, falling asleep at the wheel, and drunk driving. Once we get to the point of almost everyone owning a self diving car they will most likely be eco-friendly. ",2
5c17dfa,"Would you like to explore another planet? If so, which one? The author of this artical talks about exploring Venus. He explains what its like there and gives us facts like how it can be the closest planet to Earth time to time but it's really hot there and hard to explore. His reasons for exploring Venus is the closest planet to earth and is earth like and its a challenge that we should take no matter the risk. I dont think that he explained good enough on why its worth it.

The author of the artical, ""The Challenge of Exploring Venus"" tells us that ""Venus is the closest planet to Earth in terms of density and size, and occasionally the closest in distance too."" This means that because its close and Earths ""twin"" its its worh exploring no matter the challenge it brings.

The author also says ""Our travels on Earth should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation."" When he says this he thinks that we should explore Venus no matter the dangers but in the artical he listed the dangers. He says Venus has a ""thick atmosphere of almost 97 percent carbon dioxide blankets venus. Even more challenging are the clouds of highly corrosive sulfuric acid in Venus's atmosphere. On the planet's surface, temperatures average over 800 degrees Fahrenheit, and the atmospheric pressure is 90 times greater that what we experience on our own planet."" If it's 90 times grater than what we experience on earth is it worth studying? He tells us that they sent nemerous spaccrafts to Venus but nun of them survieved longer than a few ours. If your spaceships cant land there and survive why send a human there risking lives?

In conclusion he told us some good facts about Venus like how its called Eaths twin, can be closest to earth sometimes, almost same size and same density,and that its 800 degrees Fahrenheit but i dont think his reasons explained good enough on why we should risk exploring there but he did have some good ideals on what they can do to explore Venus like hover over it 30 plus miles studying it.    ",3
c6eb28d,"Driverless cars are a very intriguing and thought provoking concept that manufacturers and society have toyed with for decades. The possibility of reducing the risk of human error is very tempting and a reason for why many people are in supports of having driverless cars. Although, not everyone shares the same opinion regarding cars that don't require human control. I do not think that completely driverless cars are the best way to go because of the high risk of a computer error, but minimal human interaction could possibly be very beneficial.

Many companies such as BMW and Google have been working on developing driverless cars. While these cars have had some success on the road, there are some situations where a human driver is needed to take control of the situation. One example of this is a construction zone. Cars can have a radar and know how the road twists and turns, but in construction zones that is all thrown out the window. There are usually new boundaries created by traffic cones that the sensors on the car might not be able to connect.

Even though I am opposed to cars that are completely driverless, I do think that the integration of this technology can be highly beneficial in some areas of driving. One place that I feel like computer-assisted driving can help is when a person is backing up. Often times it is hard to see everything and it can be very easy to hit something or someone while reversing in a car. A computer that generates three dimensional images of the car's surroundings, such as the LIDAR system used by Google, could assist drivers by helping them see things that they previously weren't able to see. I also think that an automatic brake that is activated when the car is dangerously close to an object would be beneficial as well.

While there are risks and rewards to a driverless car, I feel like the risk of a computer error is a great one that could cost money and lives. Driver assistance, including cameras for backing up and an automatic brake to help prevent wrecks, is something that I would be open to in the future. We could soon be seeing these driverless cars on the road as many companies plan to have models out in the next five or six years, but I doubt they will be completely driverless.        ",4
b51f7d0,"We should not use this technology in the classroom ,it is not a valuable.Human expression is just not determined through the face. Also, this takes the jobs of teachers and lessens the teacher-student relationship.In addition, not all students react the same, when not being able to comprehehnd a problem. The technology of a computer determining emotions I find fault in.

Humans express their feelings through many ways, but here at

Merrillville Highschool I often see girls laughing and smiling,but their leg is shaking, which means somethig is wrong. In paragraph 3, it says, ""Eckman has classified six basic emotions-happiness, surprise,anger,disgust,fear, and sadness."" How can you based that on Mona Lisa, when you cant prove that she was like that. This ineffective computer program use muscles in your face to determine someone's feelings , when ofter cases people can be nonchalant about something and really the feel something else.

Yet alone, this also takes another teacher's job, which ruins alot of lives. Teacher's are essential to the classroom and when a student don't understand a problem they don't expect a computer to understand.There's more to a student , maybe its not the problem they don't understand. They may be thinking of something else they don't understand and the computer notice that and change something they already was working on which confuses them even more.The teachers would notice that because they are human and they would know and seen that student recent behavior changes.

Students have different reactions to various situations. Students have different aspects and different way of seeing things. When some students they sit there and show they dont get it.On the other hand, students may act out in order to get some attention or just wont try at all. Study of human emotions can't be just determined through face muscle.

The Face Coding program I found an abundant amount of flaws in, it will not be valued in the classrooms.Humans are complex creatures and express emotions other than just through their face.Futhermore , this threatens human teacher's position at work.A human's emotions can't just be decided or determined through facial expressions there's more to it than that.",4
6af86c9,"Technology is the future, and with the advancement of technology comes the addition of responsibility for the people using it. One hundred and fifty years ago, we had a thriving textile industry, and the long awaited introduction of railroads and canals. Today, we are advancing with the hopes of creating a cost efficient self-driving vehicle that people from all reaches of the world can use. While this task may prove to be difficult, it is definitely a task that we should take on. Self-driving cars are a beneficial gateway to mastering concepts like artificial intelligence. Continuous experimentation with self-driving, or driverless cars will only prove to be benefical to humanity. I believe that the development of driverless cars will make driving safer, create opportunities in transportation, and lead on to greater advancments in technology.

Think of a world where technology is what gets people from one location to another. One would get in their vehicle, speak or type in a few commands, and be on the way to their desired location. If scientists can master driverless cars, the road would be a much safer place. Driverless cars would make many less mistakes than the average human being. With the use of the advanced sensors, GPS, and radars that have been developed, cars will be able to communicate with one another and make decisions faster than any human. Every vehicle will be on a network communicating with one another, allowing for the safest and most efficient driving. The mental and physical aspects of humans play a huge role in driving conditions. A human's driving capabilities are hindered by mental and physical feelings like anger or fatigue. These feelings do not have an effect on driverless cars. Driverless cars can only make the road a safer and more efficient place, as they are able to communicate with one another and eliminate common human mistakes.

Driverless cars are a stepping stone for greater transportation. With the developments of these technologies, improvements will be made in all aspects of transportation. Bus travel will become safer and more efficient. When this technology hits the world of aviation, planes and other aircraft will go beyond what they are today. Flying already uses extremely advanced technologies, but scientists can definitely push it to be better. When a well-made driverless car is developed, doors are opened for all types of transportation. Driverless cars will not only revolutionize all aspects of transportation, but it will also open doors in other areas of technology.

With the advancement of driverless cars, comes the eventual advancement of other technologies. The investment in the development of driverless cars will yield a great reward. Scientists will be able to push the boundaries of artificial intelligence, which plays a huge role in driverless cars. Artificial intelligence pushes for a greater future, as it allows for robots and alike technologies to complete tasks that would be difficult or time consuming for humans. Radars and sensors will also improve. People see radar technology in the weather, and GPS systems. With the advancements of radar technology, there will be a day when scientists can detect a tornado hours before it is going to touch down. At that point in time, there may even be technology to stop natural disasters.

In conclusion, driverless cars will take time to perfect, but driverless cars will be worth it when this perfection comes. There is a plethera of advantages that driverless cars bring to the table. They make the driving world a safer, and more efficient place. The technologies used in driverless cars also open doors to new types of technology. The benefits heavily outweigh the consequences when it comes to the development of driverless cars. When the world wanted to reach the stars, we did, so now let us reach for a technology that will make the world a better place.           ",5
